,Link,ProductName,Price,Discount,DeliveryCharge
0,https://meesho.com/tshirts-men/pl/t3brl?page=1,Urbane Modern Men Tshirts,₹402,20,Free Delivery
1,https://meesho.com/tshirts-men/pl/t3brl?page=1,candy polyster tshirt joker,₹169,30,Free Delivery
2,https://meesho.com/tshirts-men/pl/t3brl?page=1,URBAN COTTON FULL SLEEVES  TSHIRT FOR MAN  ,₹184,30,Free Delivery
3,https://meesho.com/tshirts-men/pl/t3brl?page=1,Proud to be Indian t-shirt,₹210,30,Delivery ₹67
4,https://meesho.com/tshirts-men/pl/t3brl?page=1,Men Round Neck Striped Full Sleeve Tshirts,₹316,24,Free Delivery
5,https://meesho.com/tshirts-men/pl/t3brl?page=1,Premium cotton mens tshirts combo,₹317,24,Free Delivery
6,https://meesho.com/tshirts-men/pl/t3brl?page=1,"AXXITUDE ""Best Selling"" Stylish T-shirt for Men",₹266,27,Free Delivery
7,https://meesho.com/tshirts-men/pl/t3brl?page=1,men tshirt,₹276,27,Free Delivery
8,https://meesho.com/tshirts-men/pl/t3brl?page=1,COTTON T-SHIRT,₹447,18,Free Delivery
9,https://meesho.com/tshirts-men/pl/t3brl?page=1,Merchant of Designs Cricles Printed White Blue Regular fit Polo Collar T-Shirt for Man,₹399,20,Delivery ₹67
10,https://meesho.com/tshirts-men/pl/t3brl?page=1,Tom Hiddle Cotton Half Sleeves Graphic Print T-Shirt for Mens Black-Urban ( PREMIUM BRANDED T-SHIRT),₹286,26,Free Delivery
11,https://meesho.com/tshirts-men/pl/t3brl?page=1,Fancy Retro Men Tshirts,₹201,30,Free Delivery
12,https://meesho.com/tshirts-men/pl/t3brl?page=1,Solid Men Round Neck Green T-Shirt ,₹385,21,Free Delivery
13,https://meesho.com/tshirts-men/pl/t3brl?page=1,Sparkle White T-Shirt,₹210,30,Delivery ₹67
14,https://meesho.com/tshirts-men/pl/t3brl?page=1,QFB WHITE PRINTED ROUND NECK HALF SLEEVE T SHIRT,₹201,30,Free Delivery
15,https://meesho.com/tshirts-men/pl/t3brl?page=1,Sparkle White printed t shirt,₹210,30,Delivery ₹67
16,https://meesho.com/tshirts-men/pl/t3brl?page=1,Social Distancing T-shirt,₹616,14,Free Delivery
17,https://meesho.com/tshirts-men/pl/t3brl?page=1,Men's Round Neck T-SHIRT.,₹327,23,Free Delivery
18,https://meesho.com/tshirts-men/pl/t3brl?page=1,candy polyster tshirt beard man ,₹170,30,Free Delivery
19,https://meesho.com/tshirts-men/pl/t3brl?page=2,Men's White Maroon Cotton Round Neck Half Sleeve Trending t-shirt,₹316,24,Free Delivery
20,https://meesho.com/tshirts-men/pl/t3brl?page=3,Classic Fashionista Men Tshirts,₹187,30,Free Delivery
21,https://meesho.com/tshirts-men/pl/t3brl?page=4,multicolour mens half sleeves cotton tshirts,₹766,12,Free Delivery
22,https://meesho.com/tshirts-men/pl/t3brl?page=5,mens half sleeves cotton tshirts,₹766,12,Free Delivery
23,https://meesho.com/tshirts-men/pl/t3brl?page=6,Half Sleeve Polo Tshirt ,₹173,30,Free Delivery
24,https://meesho.com/tshirts-men/pl/t3brl?page=7,Daho Men Fashion Tshirts,₹222,30,Free Delivery
25,https://meesho.com/tshirts-men/pl/t3brl?page=8,Premium cotton tshirts combo,₹267,27,Free Delivery
26,https://meesho.com/tshirts-men/pl/t3brl?page=9,High Quality 100% cotton Unisex Solid T-shirts,₹567,15,Free Delivery
